year,total_net_worth_p10,total_net_worth_p25,total_net_worth_p50,total_net_worth_p75,total_net_worth_p90,net_worth_p10,net_worth_p25,net_worth_p50,net_worth_p75,net_worth_p90
2026,937533.3260312773,968324.5760312772,1021130.8260312773,1071110.8260312774,1086878.3260312774,656367.5,687158.7499999999,739965.0,789945.0,805712.5
2027,1047046.0946549472,1105276.947154947,1133045.802154947,1187917.752154947,1281792.472154947,738709.7575000001,796940.61,824709.465,879581.4149999998,973456.1349999999
2028,1133297.2333010004,1231433.5346235004,1309342.8308260003,1367196.0681235003,1393914.6994635002,796742.5877175,894878.8890399999,972788.1852424999,1030641.4225399999,1057360.05388
2029,1246915.6651279163,1304185.7748562037,1430333.5022356436,1552547.219741119,1621329.4427624138,881049.7423875126,938319.8521157999,1064467.5794952398,1186681.297000715,1255463.52002201
2030,1362771.801983472,1452717.4842114113,1682211.0874455657,1776473.0334270946,1859315.1930957804,966454.2957317061,1056399.9779596454,1285893.5811938,1380155.5271753287,1462997.6868440148
2031,1503095.4014711299,1625750.4329069578,1935785.565660153,2031082.1202793764,2083991.788591153,1075136.3886538735,1197791.4200897017,1507826.552842897,1603123.10746212,1656032.7757738968
2032,1661024.2986653652,1866989.4690687913,2086685.2852407836,2321926.412478083,2392227.227287273,1200181.8413710943,1406147.0117745204,1625842.8279465127,1861083.955183812,1931384.769993002
2033,1833379.6458562512,1980169.176634435,2455881.935664663,2580506.0984275364,2665543.345748822,1338357.2675076118,1485146.7982857958,1960859.5573160239,2085483.7200788972,2170520.967400183
2034,2035146.080735964,2332182.31393175,2821546.4820692516,2938083.4126697797,2970070.4950236334,1504590.10969031,1801626.342886096,2290990.511023598,2407527.441624126,2439514.523977979
2035,2326107.5004447866,2701044.3369679074,3091355.0090639014,3204872.1631880463,3374087.0198227987,1758604.2736679683,2133541.110191089,2523851.7822870826,2637368.936411228,2806583.79304598
2036,2649209.4566995148,2902361.513743695,3607550.596895673,3626562.2373070577,3771054.7609822988,2043282.3757588621,2296434.4328030422,3001623.51595502,3020635.156366405,3165127.680041646
2037,2985626.0804546666,3442513.2558803502,3878083.7234427663,4197143.50611349,4242577.733257873,2339732.511634535,2796619.6870602192,3232190.154622635,3551249.9372933595,3596684.164437742
2038,3362147.440515859,3987566.928322265,4385427.527255027,4486479.879732926,4716237.325202482,2674675.4503908446,3300094.9381972505,3697955.537130012,3799007.889607912,4028765.335077468
2039,3801392.6438987805,4323980.271893593,5025725.563346329,5167729.908401739,5227285.814439812,3070657.561204283,3593245.189199095,4294990.480651832,4436994.825707242,4496550.731745314
2040,4369761.408737445,4805689.799186809,5425262.413132418,5861383.183034521,6068164.861473175,3594002.202853064,4029930.5933024273,4649503.207248037,5085623.977150139,5292405.655588794
2041,4890800.744038453,5500688.84106276,6078743.828165624,6289160.94011218,6888751.235707752,4068176.2098450447,4678064.306869352,5256119.293972217,5466536.405918772,6066126.701514345
2042,5381779.522801945,5863063.433658108,6589723.449907454,7192958.965037694,7624357.837244084,4510364.261086307,4991648.171942469,5718308.188191815,6321543.703322056,6752942.575528445
2043,5747717.6623824015,6107689.316572429,7098772.112206338,7720800.305871701,8498284.867982019,4825497.844342526,5185469.498532553,6176552.2941664625,6798580.487831825,7576065.049942143
2044,6162810.448655785,6616333.125149135,7314066.595627585,8537465.087298732,9311883.331682414,5187679.352402533,5641202.028895883,6338935.499374334,7562333.991045481,8336752.235429164
2045,6791415.864728452,6993618.371906301,8132264.253214621,8799218.01326127,10275318.152796444,5761169.170984133,5963371.678161982,7102017.559470302,7768971.319516949,9245071.459052125
2046,7313365.322516296,7783915.7772169765,7940465.036859451,10024800.451633798,11034884.487808395,6225696.155974799,6696246.610675479,6852795.870317954,8937131.2850923,9947215.321266897
2047,7925311.617024357,8266902.025267372,8838090.765072249,11448018.188266769,11725579.124184191,6777805.319058834,7119395.727301849,7690584.467106725,10300511.890301246,10578072.826218668
2048,8495903.87206911,8858849.211908171,9495517.268421438,11561019.95039115,13312933.853944313,7286032.489649147,7648977.829488208,8285645.886001474,10351148.567971185,12103062.47152435
2049,9097797.420392837,9757438.925716624,10317881.52668358,12318072.750311341,14021890.211295187,7837465.0743873855,8497106.579711173,9057549.18067813,11057740.40430589,12761557.865289737
2050,8957450.744786879,10613952.20151019,11545457.039179217,12556480.935863893,14940317.781689554,7659308.428401265,9315809.885124575,10247314.722793601,11258338.619478278,13642175.465303943
2051,8848509.841398671,11669296.394248493,12600846.475773832,14003322.908355538,15767059.324808558,7511423.25552149,10332209.808371311,11263759.88989665,12666236.322478354,14429972.738931376
2052,9722120.143528221,11938033.301205544,13532070.128267761,15397036.127317168,16514841.517643055,8344920.960074723,10560834.117752045,12154870.944814261,14019836.94386367,15137642.334189557
2053,10382270.284659091,11451147.766295897,14914491.601988241,15807222.586290514,16934276.50275485,8963755.125701986,10032632.607338794,13495976.443031138,14388707.42733341,15515761.343797745
2054,11701289.38149921,12092584.531674724,15370019.785243604,16941951.73452472,18130406.209522016,10240218.767773395,10631513.91794891,13908949.17151779,15480881.120798904,16669335.595796201
2055,12868900.897415265,13356834.48269575,15489707.500855573,17301428.916602887,19379008.120849013,11363998.165277675,11851931.75055816,13984804.768717982,15796526.184465297,17874105.388711423
2056,13922248.201745128,14455917.430838255,15538724.912603123,18417094.07031686,19690031.230507538,12372198.38764341,12905867.616736537,13988675.098501405,16867044.25621514,18139981.41640582
2057,14530348.09951888,15811317.558287706,17005461.515902385,18404362.55310694,19854112.191030823,12933796.790994111,14214766.249762937,15408910.207377616,16807811.24458217,18257560.882506058
2058,16318724.335612953,17000422.5083064,17938731.577069517,19169023.35241445,20477099.2108857,14674276.487832438,15355974.660525888,16294283.729289003,17524575.504633937,18832651.363105185
2059,17389189.849927194,19251987.795234673,19679371.62023203,20726702.17764239,21220520.112523332,15695408.566713268,17558206.512020744,17985590.337018102,19032920.89442846,19526738.829309404
2060,18875178.059138767,19931330.178093325,21565042.159571044,22541377.48499597,23033744.725333765,17130583.33742842,18186735.45638298,19820447.437860698,20796782.763285622,21289150.00362342
2061,19873312.707858793,21703613.85280928,23137845.146176614,24245977.94416225,25185851.974635676,18076380.14449714,19906681.289447624,21340912.582814954,22449045.38080059,23388919.411274016
2062,22160866.507207025,23446807.512029096,25044064.305940088,25865278.362867735,26548685.88757641,20310025.96694452,21595966.97176659,23193223.765677582,24014437.82260523,24697845.347313903
2063,22324937.84297026,24025724.633363426,27125966.0897251,28123545.85051308,29238662.918377258,20418572.086499877,22119358.876893044,25219600.333254717,26217180.094042696,27332297.161906876
2064,23592566.842995994,25070994.722009152,28472885.76748403,30896637.747515902,32338375.093260318,21629010.1138315,23107437.992844664,26509329.038319536,28933081.01835141,30374818.364095826
2065,26189390.982958145,27103877.029361755,31107624.916947786,33592817.71976659,35599606.42122257,24166927.551918723,25081413.59832233,29085161.48590836,31570354.288727157,33577142.99018314
2066,29462769.085185025,30078735.36187517,32781372.35976056,36373260.017101884,38540655.945846066,27379631.751214415,27995598.02790456,30698235.025789946,34290122.68313128,36457518.61187546
