Date,Account,Balance
2026-01-02,Checking,32450.50
2026-01-02,High-Yield Savings,85000.00
2026-01-02,Visa Credit Card,-2340.00
2026-01-02,Vanguard Traditional IRA,187500.00
2026-01-02,Vanguard Roth IRA,72500.00
2026-01-02,Fidelity Taxable Brokerage,145000.00
2026-01-02,Home Mortgage,-365000.00
2026-01-02,Toyota RAV4 Loan,-28500.00
2026-01-02,Employer 401k,95000.00
2026-01-15,Checking,31280.00
2026-01-15,High-Yield Savings,85200.00
2026-01-15,Visa Credit Card,-1890.00
2026-01-15,Vanguard Traditional IRA,188200.00
2026-01-15,Vanguard Roth IRA,73100.00
2026-01-15,Fidelity Taxable Brokerage,146800.00
2026-01-15,Home Mortgage,-364800.00
2026-01-15,Toyota RAV4 Loan,-28400.00
2026-01-15,Employer 401k,95800.00
2026-02-01,Checking,33700.00
2026-02-01,High-Yield Savings,85300.00
2026-02-01,Visa Credit Card,-4200.00
2026-02-01,Vanguard Traditional IRA,190100.00
2026-02-01,Vanguard Roth IRA,73800.00
2026-02-01,Fidelity Taxable Brokerage,148200.00
2026-02-01,Home Mortgage,-364500.00
2026-02-01,Toyota RAV4 Loan,-28290.00
2026-02-01,Employer 401k,96600.00
